index, real(in), imag(in), real(out), imag(out), error, f_in, f_out
57,  -0.25964293,  -0.42730030,   0.92541832,   0.37894717,  -2.50546980,  -0.20000000,  -0.10969358
58,  -0.33935878,  -0.36719972,   0.98868734,   0.14999108,  -2.46737051,  -0.20000000,  -0.11282542
59,  -0.40554544,  -0.29246005,   0.99606705,  -0.08860273,  -2.42809200,  -0.20000000,  -0.11590963
60,  -0.45556435,  -0.20606098,   0.94634384,  -0.32316151,  -2.38774252,  -0.20000000,  -0.11894474
61,  -0.48742136,  -0.11144691,   0.84169304,  -0.53995627,  -2.34642553,  -0.20000000,  -0.12192942
62,  -0.49984646,  -0.01238981,   0.68763524,  -0.72605634,  -2.30424118,  -0.20000000,  -0.12486245
63,  -0.49234432,   0.08716123,   0.49277180,  -0.87015855,  -2.26128626,  -0.20000000,  -0.12774275
64,  -0.46521398,   0.18323743,   0.26831025,  -0.96333253,  -2.21765232,  -0.20000000,  -0.13056935
65,  -0.41953707,   0.27200857,   0.02741103,  -0.99962425,  -2.17342806,  -0.20000000,  -0.13334142
66,  -0.35713455,   0.34993556,  -0.21560861,  -0.97647989,  -2.12869835,  -0.20000000,  -0.13605820
67,  -0.28049427,   0.41391179,  -0.44615865,  -0.89495391,  -2.08354473,  -0.20000000,  -0.13871907
68,  -0.19267155,   0.46138668,  -0.65029222,  -0.75968415,  -2.03804398,  -0.20000000,  -0.14132349
69,  -0.09716766,   0.49046758,  -0.81558669,  -0.57863492,  -1.99227047,  -0.20000000,  -0.14387105
70,   0.00220999,   0.49999511,  -0.93193644,  -0.36262161,  -1.94629574,  -0.20000000,  -0.14636140
71,   0.10149954,   0.48958945,  -0.99220133,  -0.12464537,  -1.90018654,  -0.20000000,  -0.14879426
72,   0.19674262,   0.45966548,  -0.99266315,   0.12091259,  -1.85400677,  -0.20000000,  -0.15116949
73,   0.28414223,   0.41141608,  -0.93326569,   0.35918677,  -1.80781937,  -0.20000000,  -0.15348700
74,   0.36021399,   0.34676489,  -0.81761837,   0.57576048,  -1.76168156,  -0.20000000,  -0.15574677
75,   0.42192519,   0.26828927,  -0.65276575,   0.75755978,  -1.71564865,  -0.20000000,  -0.15794888
76,   0.46681559,   0.17911784,  -0.44873941,   0.89366263,  -1.66977310,  -0.20000000,  -0.16009344
77,   0.49309558,   0.08280557,  -0.21792209,   0.97596616,  -1.62410355,  -0.20000000,  -0.16218066
78,   0.49971741,  -0.01680790,   0.02572796,   0.99966896,  -1.57868767,  -0.20000000,  -0.16421080
79,   0.48641714,  -0.11575130,   0.26755044,   0.96354383,  -1.53356838,  -0.20000000,  -0.16618416
80,   0.45372498,  -0.21008006,   0.49308258,   0.86998248,  -1.48878860,  -0.20000000,  -0.16810112
81,   0.40294430,  -0.29603362,   0.68894351,   0.72481501,  -1.44438744,  -0.20000000,  -0.16996211
82,   0.33609951,  -0.37018526,   0.84363437,   0.53691810,  -1.40040112,  -0.20000000,  -0.17176759
83,   0.25585553,  -0.42957881,   0.94821066,   0.31764218,  -1.35686302,  -0.20000000,  -0.17351809
84,   0.16541140,  -0.47184646,   0.99678695,   0.08009869,  -1.31380558,  -0.20000000,  -0.17521417
85,   0.06837286,  -0.49530309,   0.98684829,  -0.16164909,  -1.27125931,  -0.20000000,  -0.17685643
86,  -0.03139148,  -0.49901360,   0.91935021,  -0.39344025,  -1.22924995,  -0.20000000,  -0.17844550
87,  -0.12990434,  -0.48283005,   0.79860938,  -0.60184968,  -1.18780518,  -0.20000000,  -0.17998207
88,  -0.22323835,  -0.44739762,   0.63199437,  -0.77497298,  -1.14694798,  -0.20000000,  -0.18146682
89,  -0.30767256,  -0.39412892,   0.42944327,  -0.90309381,  -1.10669994,  -0.20000000,  -0.18290050
90,  -0.37984085,  -0.32514754,   0.20283964,  -0.97921199,  -1.06708050,  -0.20000000,  -0.18428388
91,  -0.43686613,  -0.24320360,  -0.03470776,  -0.99939752,  -1.02810860,  -0.20000000,  -0.18561773
92,  -0.47647494,  -0.15156390,  -0.26964432,  -0.96296000,  -0.98979950,  -0.20000000,  -0.18690287
93,  -0.49708825,  -0.05388185,  -0.48874751,  -0.87242526,  -0.95216942,  -0.20000000,  -0.18814011
94,  -0.49788427,   0.04594830,  -0.67987490,  -0.73332810,  -0.91523069,  -0.20000000,  -0.18933032
95,  -0.47883126,   0.14394663,  -0.83262336,  -0.55383962,  -0.87899494,  -0.20000000,  -0.19047436
96,  -0.44068876,   0.23620629,  -0.93887609,  -0.34425530,  -0.84347159,  -0.20000000,  -0.19157310
97,  -0.38497713,   0.31904954,  -0.99320477,  -0.11637986,  -0.80867112,  -0.20000000,  -0.19262744
98,  -0.31391758,   0.38917318,  -0.99311328,   0.11715786,  -0.77460003,  -0.20000000,  -0.19363828
99,  -0.23034301,   0.44378158,  -0.93911046,   0.34361538,  -0.74126434,  -0.20000000,  -0.19460653
100,  -0.13758534,   0.48069769,  -0.83461583,   0.55083245,  -0.70866776,  -0.20000000,  -0.19553311
101,  -0.03934252,   0.49844977,  -0.68571341,   0.72787160,  -0.67681694,  -0.20000000,  -0.19641894
102,   0.06046877,   0.49633005,  -0.50076091,   0.86558568,  -0.64571190,  -0.20000000,  -0.19726497
103,   0.15786934,   0.47442308,  -0.28989723,   0.95705777,  -0.61535454,  -0.20000000,  -0.19807211
104,   0.24897611,   0.43360224,  -0.06446620,   0.99791992,  -0.58574677,  -0.20000000,  -0.19884130
105,   0.33015692,   0.37549490,   0.16361104,   0.98652494,  -0.55688667,  -0.20000000,  -0.19957349
106,   0.39817530,   0.30241764,   0.38246539,   0.92396981,  -0.52877420,  -0.20000000,  -0.20026959
107,   0.45031959,   0.21728384,   0.58089721,   0.81397694,  -0.50140756,  -0.20000000,  -0.20093057
108,   0.48451090,   0.12348757,   0.74893790,   0.66264015,  -0.47478104,  -0.20000000,  -0.20155732
109,   0.49938616,   0.02476820,   0.87832499,   0.47806409,  -0.44889259,  -0.20000000,  -0.20215081
110,   0.49435231,  -0.07493860,   0.96288693,   0.26990503,  -0.42373848,  -0.20000000,  -0.20271192
111,   0.46961004,  -0.17165782,   0.99880630,   0.04884678,  -0.39931107,  -0.20000000,  -0.20324160
112,   0.42614576,  -0.26153353,   0.98475420,  -0.17395154,  -0.37560460,  -0.20000000,  -0.20374075
113,   0.36569226,  -0.34098265,   0.92190349,  -0.38741967,  -0.35261533,  -0.20000000,  -0.20421025
114,   0.29065967,  -0.40683776,   0.81381255,  -0.58112746,  -0.33033371,  -0.20000000,  -0.20465103
115,   0.20403929,  -0.45647341,   0.66619909,  -0.74577397,  -0.30875206,  -0.20000000,  -0.20506394
116,   0.10928445,  -0.48791075,   0.48661631,  -0.87361580,  -0.28786466,  -0.20000000,  -0.20544988
117,   0.01017275,  -0.49989650,   0.28404376,  -0.95881134,  -0.26766205,  -0.20000000,  -0.20580971
118,  -0.08934450,  -0.49195281,   0.06842724,  -0.99765611,  -0.24813460,  -0.20000000,  -0.20614429
119,  -0.18529986,  -0.46439636,  -0.14981560,  -0.98871398,  -0.22927284,  -0.20000000,  -0.20645446
120,  -0.27386782,  -0.41832572,  -0.36029702,  -0.93283767,  -0.21106908,  -0.20000000,  -0.20674105
121,  -0.35151747,  -0.35557765,  -0.55315292,  -0.83307970,  -0.19351199,  -0.20000000,  -0.20700489
122,  -0.41515312,  -0.27865371,  -0.71948946,  -0.69450337,  -0.17659007,  -0.20000000,  -0.20724678
123,  -0.46223778,  -0.19062066,  -0.85177505,  -0.52390772,  -0.16029359,  -0.20000000,  -0.20746751
124,  -0.49089435,  -0.09498809,  -0.94416374,  -0.32947668,  -0.14461136,  -0.20000000,  -0.20766787
125,  -0.49998036,   0.00443138,  -0.99272835,  -0.12037636,  -0.12953186,  -0.20000000,  -0.20784864
126,  -0.48913360,   0.10367418,  -0.99560231,   0.09368052,  -0.11504555,  -0.20000000,  -0.20801055
127,  -0.45878646,   0.19878379,  -0.95302504,   0.30289161,  -0.10113905,  -0.20000000,  -0.20815437
128,  -0.41014880,   0.28596845,  -0.86729085,   0.49780172,  -0.08780286,  -0.20000000,  -0.20828079
129,  -0.34515968,   0.36175239,  -0.74260533,   0.66972929,  -0.07502180,  -0.20000000,  -0.20839053
